"index"	"accession"	"genome"	"assay_target_class"	"assay_target"	"biosample_type_class"	"biosample_type"	"treatment"	"mutation"	"strain"	"test_auc_roc"	"test_auc_prc"
0	"ERX1167944"	"mm9"	"Chromatin"	"DNase-seq"	"Blood"	"Hematopoietic stem cells (HPC-7 cell line)"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9728	0.4299
1	"ERX1167945"	"mm9"	"Chromatin"	"DNase-seq"	"Blood"	"Hematopoietic stem cells (HPC-7 cell line)"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9727	0.4231
2	"ERX1167946"	"mm9"	"Chromatin"	"DNase-seq"	"Blood"	"Hematopoietic stem cells (HPC-7 cell line)"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9726	0.4168
3	"SRX013185"	"mm9"	"TFs and others"	"Gata1"	"Blood"	"G1E"	"None"	"None"	"129S8/SvEv-Gpi1<c>"	0.9509	0.0089
4	"SRX020969"	"mm9"	"Histone"	"H4ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9851	0.1973
5	"SRX020977"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9866	0.7353
6	"SRX020978"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9858	0.7140000000000001
7	"SRX020981"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9908	0.7798
8	"SRX020982"	"mm9"	"Histone"	"H3K4me3"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9897	0.7671
9	"SRX022689"	"mm9"	"TFs and others"	"Smc1a"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9964	0.5772
10	"SRX022690"	"mm9"	"TFs and others"	"Smc3"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9985	0.67
11	"SRX022692"	"mm9"	"TFs and others"	"Med12"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9927	0.4305
12	"SRX022697"	"mm9"	"TFs and others"	"Nipbl"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6J x 129/Sv"	0.9944	0.4046
13	"SRX025454"	"mm9"	"Histone"	"H3Kac"	"Blood"	"Th2 cells"	"None"	"None"	"C57BL/6"	0.9961	0.3545
14	"SRX027437"	"mm9"	"TFs and others"	"Dmc1"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"(B10.F-H2<pb1>(13R) x B10.S-H2<t4>(9R))F1"	0.6574	0.0062
15	"SRX027441"	"mm9"	"TFs and others"	"Dmc1"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"(B10.F-H2<pb1>(13R) x B10.S-H2<t4>(9R))F1"	0.6587	0.0172
16	"SRX027442"	"mm9"	"TFs and others"	"Dmc1"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"(B10.F-H2<pb1>(13R) x B10.S-H2<t4>(9R))F1"	0.725	0.0041
17	"SRX027451"	"mm9"	"Histone"	"H3K4me3"	"Gonad"	"Testis"	"None"	"Psmc3ip -/-"	"(B10.F-H2<pb1>(13R) x B10.S-H2<t4>(9R))F1"	0.9508	0.7156
18	"SRX027453"	"mm9"	"Histone"	"H3K4me3"	"Liver"	"Liver"	"None"	"Psmc3ip -/-"	"(B10.F-H2<pb1>(13R) x B10.S-H2<t4>(9R))F1"	0.9855	0.7427
19	"SRX028529"	"mm9"	"TFs and others"	"Rnf2"	"Pluripotent stem cell"	"Embryonic stem cells"	"None"	"None"	"C57BL/6"	0.9975	0.4285
20	"SRX028850"	"mm9"	"Histone"	"H3ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.991	0.7012
21	"SRX028851"	"mm9"	"Histone"	"H3ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9915	0.7211
22	"SRX028852"	"mm9"	"Histone"	"H3ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9931	0.7176
23	"SRX028853"	"mm9"	"Histone"	"H3ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9906	0.6449
24	"SRX028854"	"mm9"	"Histone"	"H4K12ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9907	0.2581
25	"SRX028855"	"mm9"	"Histone"	"H4K12ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9866	0.2793
26	"SRX028856"	"mm9"	"Histone"	"H4K12ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9879	0.3595
27	"SRX028857"	"mm9"	"Histone"	"H4K12ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9866	0.1931
28	"SRX028858"	"mm9"	"Histone"	"H4K5ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.9733	0.2848
29	"SRX028859"	"mm9"	"Histone"	"H4K5ac"	"Blood"	"Macrophages"	"None"	"None"	"C57BL/6"	0.975	0.3303
